#sampleID,sum_PRS,SNP_N
0_100056,7621.870456538172,604541
0_100108,7607.839020415905,604541
0_100193,7624.835154572787,604541
0_100201,7618.320918629689,604541
0_100259,7624.298702040965,604541
0_100298,7623.9870648292845,604541
0_100368,7623.5230575773985,604541
0_100473,7606.196365868642,604541
0_100529,7603.961844560703,604541
0_100625,7614.660613575336,604541
0_100696,7610.483324888956,604541
0_100749,7612.963618148563,604541
0_100786,7610.729782234837,604541
0_100804,7616.03368833294,604541
0_100818,7619.986602359075,604541
0_100898,7613.191221618207,604541
0_100924,7605.86995047573,604541
0_101029,7620.330345979324,604541
0_101145,7606.149999347643,604541
0_101215,7609.104287585289,604541
0_101368,7605.967631307069,604541
0_101415,7607.711896273702,604541
0_101450,7600.928338775118,604541
0_101506,7612.0510053536955,604541
0_101534,7619.746746447867,604541
0_101577,7622.704713616528,604541
0_101612,7613.2695950791995,604541
0_102041,7609.25668208683,604541
0_102142,7622.635234137018,604541
0_102245,7616.480073141968,604541
0_102406,7614.099441078589,604541
0_102440,7609.72554519615,604541
0_102443,7618.538520288812,604541
0_102578,7605.405008771813,604541
0_102655,7604.066102412472,604541
0_102700,7619.6206800793625,604541
0_102790,7610.802405537821,604541
0_102881,7615.12773186537,604541
0_103291,7614.672901346785,604541
0_103359,7623.983259563942,604541
0_103360,7614.700383285809,604541
0_103393,7608.832090914607,604541
0_103431,7614.943349142234,604541
0_103630,7616.560315565617,604541
0_103673,7615.445667583514,604541
0_103687,7622.00218924488,604541
0_103769,7616.221568680205,604541
0_103796,7613.781336607513,604541
0_103892,7611.707679886269,604541
0_103989,7604.53298914824,604541
0_104046,7606.348224193317,604541
0_104051,7620.018412399004,604541
0_104068,7623.964292082657,604541
0_104133,7621.438478238135,604541
0_104228,7621.0633450860705,604541
0_104281,7622.105591779444,604541
0_104502,7610.088710462917,604541
0_104587,7624.521169818785,604541
0_104636,7618.557730011581,604541
0_104652,7610.3105272542825,604541
0_104698,7615.80871364476,604541
0_104730,7613.1953534801805,604541
0_104832,7614.974272777782,604541
0_104915,7612.036289339633,604541
0_105047,7615.355564187104,604541
0_105061,7606.017442066166,604541
0_105198,7619.798195983926,604541
0_105256,7607.359523695433,604541
0_105293,7615.04464958831,604541
0_105331,7614.832036105044,604541
0_105370,7614.263979502723,604541
0_105374,7620.245884297294,604541
0_105572,7612.233529938275,604541
0_105649,7617.318525454982,604541
0_105807,7623.5273733339545,604541
0_105850,7604.574751240603,604541
0_105861,7622.593096378103,604541
