#sampleID,sum_PRS,SNP_N
0_100047,7620.150267719495,604541
0_100104,7630.9930014549955,604541
0_100527,7604.822666529083,604541
0_100535,7617.505523918874,604541
0_100675,7622.772141639214,604541
0_100703,7606.25984825563,604541
0_100796,7627.078817071329,604541
0_101736,7605.18361106297,604541
0_101892,7595.292799186693,604541
0_102348,7623.045697187573,604541
0_102405,7619.2435600660265,604541
0_102557,7609.122470815803,604541
0_102595,7597.469051595607,604541
0_102783,7622.9501993721215,604541
0_102956,7606.995878015904,604541
0_103505,7634.891377142756,604541
0_103698,7622.1038115629635,604541
0_103699,7612.370436983631,604541
0_103704,7620.964910680477,604541
0_104105,7620.485042405695,604541
0_104168,7622.712258973926,604541
0_104475,7590.0419657136,604541
0_104511,7613.812976691101,604541
0_104536,7628.14955808591,604541
0_104671,7624.992736738208,604541
0_104704,7616.902164368756,604541
0_104708,7588.843454136191,604541
0_104775,7610.591140298552,604541
0_104827,7614.2607740359235,604541
0_104988,7615.8541687568095,604541
0_105104,7631.180466395916,604541
0_105279,7621.180279818899,604541
0_105477,7623.220204268557,604541
0_105644,7625.902111200782,604541
0_105676,7591.754786430663,604541
0_105799,7602.90164381297,604541
0_105806,7632.155981710694,604541
0_105826,7633.079876210219,604541
0_105841,7612.161519407682,604541
0_105843,7612.0774225835075,604541
0_106076,7633.1527103468625,604541
0_106086,7618.532926985819,604541
0_106087,7622.8107663487035,604541
0_106219,7595.682051781231,604541
0_106249,7639.694014190465,604541
0_106406,7619.707275261817,604541
0_106759,7610.607766134152,604541
0_107054,7622.652165309957,604541
0_107235,7614.388050644665,604541
0_107601,7619.030783568238,604541
0_107619,7604.445867489659,604541
0_108018,7602.719406678336,604541
0_108047,7613.609545385034,604541
0_108380,7610.105875088496,604541
0_108807,7586.217203931467,604541
0_108868,7618.848287900498,604541
0_109032,7622.37072241686,604541
0_109076,7648.684179147835,604541
0_109494,7626.271013488984,604541
0_109590,7589.474085910847,604541
0_110288,7600.252301008015,604541
0_110476,7619.754419829054,604541
0_110502,7615.720710722146,604541
0_110589,7589.744718484186,604541
0_110842,7573.455415911444,604541
0_110957,7605.276874265727,604541
0_111002,7649.981802274756,604541
0_111173,7623.103793749323,604541
0_111346,7622.460543421367,604541
0_111378,7621.596962672569,604541
0_111476,7606.7387595524015,604541
0_111598,7606.9228856467835,604541
0_111645,7621.57144882131,604541
0_111744,7633.18052589903,604541
0_111943,7618.944366241183,604541
0_112235,7604.0274630015565,604541
0_112389,7615.476010501231,604541
0_112609,7614.357049279637,604541
0_112755,7605.619716577468,604541
0_113019,7612.78477348879,604541
0_113180,7642.238122331148,604541
0_113333,7620.031543356359,604541
0_113525,7642.435738304584,604541
0_113580,7629.655172866942,604541
0_113667,7621.232856335096,604541
0_113787,7581.72849646297,604541
0_113864,7606.517075774326,604541
0_113891,7636.7477660557115,604541
0_114034,7617.931272087127,604541
0_114129,7614.090949245237,604541
0_114224,7623.06512067851,604541
0_114586,7642.501016601019,604541
0_114753,7613.057422462954,604541
0_114857,7618.853457554857,604541
0_114875,7623.645142276621,604541
0_114888,7620.250401056213,604541
0_115444,7619.886083520957,604541
0_115521,7602.9715250643685,604541
0_115714,7617.8664211937485,604541
0_115757,7635.86083171759,604541
0_115766,7617.242104570787,604541
0_115943,7606.808953297938,604541
0_116024,7607.512985178027,604541
0_116203,7606.571509602381,604541
0_116215,7619.068204651141,604541
0_116218,7620.913626513139,604541
0_116235,7614.195024879388,604541
0_116341,7634.8273585890765,604541
0_116437,7609.397619094495,604541
0_116718,7601.897098003904,604541
0_116721,7605.728198735826,604541
0_116748,7614.813769544203,604541
0_117151,7605.946545635784,604541
0_117403,7620.672084611563,604541
0_117468,7601.205175545651,604541
0_117571,7609.903198650819,604541
0_117712,7626.622584242395,604541
0_117733,7601.272019466744,604541
0_117806,7621.515323510212,604541
0_117990,7622.736681941636,604541
0_118086,7595.155920679971,604541
0_118223,7604.25186690862,604541
0_118295,7625.030731219805,604541
0_118316,7617.930393656012,604541
0_118473,7618.469101494562,604541
0_118486,7626.150439022431,604541
0_118650,7615.479274324366,604541
0_118866,7627.7230515778765,604541
0_119419,7613.251353244777,604541
0_119432,7610.689959476855,604541
0_119467,7605.958789997382,604541
0_119683,7607.786080321788,604541
0_119932,7629.249464647374,604541
0_119971,7636.685956017565,604541
0_119974,7608.282053324192,604541
0_120050,7597.605445970185,604541
0_120143,7622.156291095466,604541
0_120173,7610.472337045363,604541
0_120241,7589.869752512423,604541
0_120431,7606.08476833122,604541
0_120878,7607.414145943399,604541
0_120926,7599.788003681244,604541
0_120998,7598.084518395789,604541
0_121087,7614.705035317836,604541
0_121092,7618.451588614622,604541
0_121113,7601.715528267734,604541
0_121504,7613.974376545144,604541
0_121592,7605.89788950113,604541
0_121630,7612.982123447264,604541
0_121802,7612.732367829244,604541
0_122272,7607.1043699325455,604541
0_122298,7593.298467017326,604541
0_122362,7614.355513954874,604541
0_122704,7620.741852001265,604541
0_122727,7623.054643916207,604541
0_122744,7598.5459028488685,604541
0_122759,7590.062453866919,604541
0_122764,7623.513652748946,604541
0_122832,7635.760352315217,604541
0_123019,7619.891634379582,604541
0_123106,7572.02866596415,604541
0_123157,7606.726643184949,604541
0_123171,7619.046348443066,604541
0_123280,7626.711229892649,604541
