#sampleID,sum_PRS,SNP_N
0_100056,154.54609623558264,1047343
0_100108,154.67771002873448,1047343
0_100193,154.52337132638968,1047343
0_100201,154.49410892613187,1047343
0_100259,154.41782055872872,1047343
0_100298,155.58525109717033,1047343
0_100368,154.83248893439603,1047343
0_100473,154.63657452548588,1047343
0_100529,154.45706904482915,1047343
0_100625,155.19313843075187,1047343
0_100696,154.91354155084045,1047343
0_100749,154.94933647373944,1047343
0_100786,155.12809928432807,1047343
0_100804,155.57525301012018,1047343
0_100818,154.9853003581536,1047343
0_100898,154.96076552888647,1047343
0_100924,154.80998871899374,1047343
0_101029,154.50746366764076,1047343
0_101145,155.34572880624523,1047343
0_101215,154.61109900656595,1047343
0_101368,154.64182984436488,1047343
0_101415,155.40548906834297,1047343
0_101450,154.79998150783217,1047343
0_101506,155.43892435840766,1047343
0_101534,154.69648985081176,1047343
0_101577,153.95392146373968,1047343
0_101612,154.92740492780175,1047343
0_102041,155.01392731728737,1047343
0_102142,154.53950362614003,1047343
0_102245,154.79164976017518,1047343
0_102406,154.82692452014524,1047343
0_102440,154.70324656098495,1047343
0_102443,154.58374658348913,1047343
0_102578,155.25604489561132,1047343
0_102655,154.73548111379404,1047343
0_102700,154.57117464519177,1047343
0_102790,154.76872902518903,1047343
0_102881,155.23677339518383,1047343
0_103291,154.79391908666375,1047343
0_103359,155.41397060899095,1047343
0_103360,155.2132753872849,1047343
0_103393,154.6025930644761,1047343
0_103431,155.33498330686393,1047343
0_103630,154.05132280216353,1047343
0_103673,154.8871577190225,1047343
0_103687,154.65610176848105,1047343
0_103769,154.5978917261126,1047343
0_103796,155.02830968627632,1047343
0_103892,155.07107835290734,1047343
0_103989,154.76733895651134,1047343
0_104046,155.32788135954738,1047343
0_104051,155.02244640682807,1047343
0_104068,155.38900022928735,1047343
0_104133,155.08136676616485,1047343
0_104228,154.9760504590196,1047343
0_104281,155.84679092487445,1047343
0_104502,155.4440717454082,1047343
0_104587,154.5815233851609,1047343
0_104636,155.2451391944696,1047343
0_104652,154.7683938302729,1047343
0_104698,155.34637975178347,1047343
0_104730,154.5663188599319,1047343
0_104832,154.90913357512883,1047343
0_104915,155.2160191650107,1047343
0_105047,154.74857516624678,1047343
0_105061,155.4651304597002,1047343
0_105198,154.4788046556983,1047343
0_105256,155.83768709554735,1047343
0_105293,154.7959743335599,1047343
0_105331,154.990472471358,1047343
0_105370,154.86084748891616,1047343
0_105374,154.90261758025687,1047343
0_105572,154.6500434075319,1047343
0_105649,155.2963972254088,1047343
0_105807,155.51153902608777,1047343
0_105850,155.41388401874167,1047343
0_105861,155.00148161438412,1047343
0_105881,155.49111608546252,1047343
0_105896,154.75190439412518,1047343
0_105909,155.01964140275055,1047343
