#sampleID,sum_PRS,SNP_N
0_100277,295.919644759,2865113
0_100579,296.804095721,2865113
0_104482,296.290664705,2865113
0_110342,296.064334641,2865113
0_111021,296.580752963,2865113
0_111252,296.186692302,2865113
0_112369,296.113808915,2865113
0_114247,296.590903878,2865113
0_116067,295.991954712,2865113
0_120579,296.462756288,2865113
0_122464,295.75035135,2865113
0_124990,296.098921343,2865113
0_127293,296.481104287,2865113
0_127758,296.18469793,2865113
0_129572,296.201511778,2865113
0_130548,295.928976531,2865113
0_130819,296.248958865,2865113
0_132169,296.318467124,2865113
0_134328,296.030942299,2865113
0_134367,296.232128459,2865113
0_134943,296.349033704,2865113
0_136105,296.692546664,2865113
0_136177,296.365551728,2865113
0_136466,296.596790224,2865113
0_136645,296.383507662,2865113
0_137682,296.385837455,2865113
0_141456,296.255443549,2865113
0_142669,296.587399253,2865113
0_143546,296.287583195,2865113
0_144706,296.562483484,2865113
0_145248,296.074483007,2865113
0_146254,295.924984953,2865113
0_147768,296.58983674,2865113
0_149197,296.084174389,2865113
0_149954,296.686159122,2865113
0_152569,296.590677201,2865113
0_153369,296.139938667,2865113
0_153809,296.064177724,2865113
0_157010,296.079980615,2865113
0_164212,296.088262063,2865113
0_164389,296.4613064,2865113
0_166699,296.704825588,2865113
0_170035,296.111903059,2865113
0_171045,296.015875943,2865113
0_171313,296.454353712,2865113
0_172126,296.225586923,2865113
0_172804,296.568795885,2865113
0_176132,296.274540465,2865113
0_178001,296.209173577,2865113
0_178581,296.373103532,2865113
0_179948,296.797891485,2865113
0_181181,296.40572154,2865113
0_182015,296.756783047,2865113
0_183821,296.586599716,2865113
0_187084,296.824329385,2865113
0_187299,296.626049138,2865113
0_187816,296.326133929,2865113
0_188827,296.199542013,2865113
0_189235,296.369162587,2865113
0_189532,296.571014075,2865113
0_189714,296.264121667,2865113
0_191540,295.759549321,2865113
0_192069,296.501313828,2865113
0_193775,295.914085768,2865113
0_197113,295.851575002,2865113
0_197911,296.195587619,2865113
0_198054,296.232401618,2865113
0_200064,296.210467201,2865113
0_200239,295.976745938,2865113
0_200649,296.306112407,2865113
0_200948,296.115420043,2865113
0_202050,296.154151576,2865113
0_202341,296.35010421,2865113
0_203050,296.295669945,2865113
0_205015,296.03325852,2865113
0_206131,296.085020439,2865113
0_206281,296.209040169,2865113
0_209990,296.160658056,2865113
0_211140,296.797961602,2865113
0_216174,295.953219746,2865113
0_219178,296.110653617,2865113
0_221386,296.456833435,2865113
0_224580,296.436794496,2865113
0_229297,296.408269608,2865113
0_229481,295.949364503,2865113
0_230183,296.320366537,2865113
0_230939,296.395342868,2865113
0_233178,296.119651169,2865113
0_233509,295.895777052,2865113
0_234187,296.340551208,2865113
0_237208,296.068449907,2865113
0_237827,296.617795454,2865113
0_238446,296.195588006,2865113
0_239391,296.234603289,2865113
0_239683,296.342589031,2865113
0_240200,296.320595793,2865113
0_242635,295.951850741,2865113
0_245496,296.540009331,2865113
0_247306,296.169758208,2865113
0_250961,296.126635307,2865113
0_252605,296.195740063,2865113
0_252905,296.106950363,2865113
0_253580,296.3136049,2865113
0_254190,296.210685025,2865113
0_254508,296.513876004,2865113
0_255737,296.346743238,2865113
0_256413,296.455195404,2865113
0_256926,295.989027339,2865113
0_258774,296.772714192,2865113
0_261082,296.012537077,2865113
0_261389,296.073305425,2865113
0_262855,296.343370782,2865113
0_263767,296.257585977,2865113
0_264155,296.708862904,2865113
0_268041,295.86306869,2865113
0_268479,296.588406244,2865113
0_268679,296.36621214,2865113
0_272167,296.106437292,2865113
0_274379,296.202892231,2865113
0_274778,296.310463411,2865113
0_275369,296.529758882,2865113
0_277302,296.289703407,2865113
0_279695,296.751538656,2865113
0_279795,296.249169635,2865113
0_280049,296.626442165,2865113
0_282138,296.639778874,2865113
0_282693,296.497302781,2865113
0_284101,296.394846081,2865113
0_284229,295.876104228,2865113
0_284310,296.126424308,2865113
0_287604,296.429678648,2865113
0_288214,296.252796697,2865113
0_290812,296.43084031,2865113
0_291575,296.261904137,2865113
0_292324,296.107648654,2865113
0_293028,296.625273778,2865113
0_294488,296.004834093,2865113
0_294537,295.975347364,2865113
0_294716,295.918376436,2865113
0_297548,296.818904181,2865113
0_298025,296.686754539,2865113
0_298222,296.435896823,2865113
0_298401,296.28487378,2865113
0_299516,296.125308642,2865113
0_300311,296.478276504,2865113
0_300874,296.182662871,2865113
0_301964,296.264288185,2865113
0_302416,296.287646567,2865113
0_303379,296.341096569,2865113
0_306544,296.388976045,2865113
0_306781,296.460719267,2865113
0_307309,296.37290391,2865113
0_308623,296.317310606,2865113
0_309854,295.870694764,2865113
0_310394,295.851725498,2865113
0_313692,296.411888549,2865113
0_314384,295.96453765,2865113
0_316176,296.551017757,2865113
0_316724,296.306572711,2865113
0_318585,296.526907555,2865113
0_320153,296.068857378,2865113
0_320183,296.357545956,2865113
0_325099,296.654998079,2865113
0_325541,296.293038964,2865113
0_325931,296.434905624,2865113
0_326990,296.067537174,2865113
0_328491,296.23657981,2865113
0_328555,296.178146084,2865113
0_328808,296.262170894,2865113
0_329299,296.542858876,2865113
0_330232,295.894165757,2865113
0_330942,296.375017947,2865113
0_336267,296.28347514,2865113
0_336635,296.503787485,2865113
0_336708,296.123804601,2865113
0_337936,296.069498992,2865113
0_338457,296.541295823,2865113
0_338926,296.509511576,2865113
0_341421,296.09527113,2865113
0_342781,296.048987827,2865113
0_346393,296.354050069,2865113
0_347817,296.323721072,2865113
0_348024,295.97697764,2865113
0_349955,296.447143844,2865113
0_350581,296.560936736,2865113
0_351280,296.255009341,2865113
0_351346,296.044724734,2865113
0_352287,296.496751358,2865113
0_353177,296.800647358,2865113
0_354504,296.356087577,2865113
0_355319,296.420389065,2865113
0_356315,295.764504703,2865113
0_357020,296.507301546,2865113
0_358623,296.237663185,2865113
0_359746,296.071591606,2865113
0_360093,296.368606375,2865113
0_364479,296.143107832,2865113
0_367968,296.489740982,2865113
0_369915,296.157889541,2865113
0_373519,296.226354723,2865113
0_374934,295.870247574,2865113
0_375079,296.268050304,2865113
0_376866,296.248699103,2865113
0_378996,296.360257047,2865113
0_383833,296.529040203,2865113
0_384459,296.520378399,2865113
0_388685,296.254698523,2865113
0_390025,296.15376067,2865113
0_391424,295.716963208,2865113
0_395737,296.505993144,2865113
0_396323,296.954915248,2865113
0_399418,296.300883262,2865113
0_400332,296.318926757,2865113
0_404355,296.23676002,2865113
0_405176,296.297327079,2865113
0_407237,296.198929572,2865113
0_407282,295.93266438,2865113
0_409558,295.954092475,2865113
0_411165,296.217356824,2865113
0_411616,296.266096595,2865113
0_412706,296.145561114,2865113
0_412865,296.170490213,2865113
0_413987,296.485631552,2865113
0_414071,296.102027957,2865113
0_414348,295.897249892,2865113
0_416108,296.35844537,2865113
0_416492,296.612734241,2865113
0_417563,296.79303737,2865113
0_418239,296.261776827,2865113
0_418623,296.45438639,2865113
0_419214,295.983573291,2865113
0_420039,296.730484659,2865113
0_420696,296.46863963,2865113
0_420862,296.573669358,2865113
0_420901,296.379519107,2865113
0_421434,296.534122124,2865113
0_423476,295.943036445,2865113
0_424259,296.269059012,2865113
0_427881,296.40241537,2865113
0_429370,295.839939543,2865113
0_431377,296.711940237,2865113
0_432181,296.49110979,2865113
0_433534,296.44640257,2865113
0_433997,296.093342383,2865113
0_436053,296.077607565,2865113
0_437442,296.266465455,2865113
0_438844,295.856358908,2865113
0_440075,296.433191071,2865113
0_442059,295.794175067,2865113
0_443336,296.30546467,2865113
0_444441,295.568503791,2865113
0_445709,296.434055753,2865113
0_450006,296.315895187,2865113
0_450187,296.143317229,2865113
0_451478,296.939656441,2865113
0_451597,296.332297875,2865113
0_454149,296.38668873,2865113
0_454509,296.350217347,2865113
0_454993,296.94016316,2865113
0_455747,296.514515171,2865113
0_457236,296.307067396,2865113
0_457874,296.495108328,2865113
0_457977,296.67813905,2865113
0_463494,296.437161353,2865113
0_464214,295.94864643,2865113
0_465808,296.670681161,2865113
0_467048,296.441115927,2865113
0_467082,296.445609956,2865113
0_469567,296.157024899,2865113
0_470417,296.477370931,2865113
0_470665,295.596766385,2865113
0_471429,296.897230184,2865113
0_473321,296.336965111,2865113
0_478097,295.964572153,2865113
0_482923,296.210530348,2865113
0_483120,296.454869291,2865113
0_484305,296.477772001,2865113
0_485335,296.493169155,2865113
0_485408,296.329673851,2865113
0_485851,296.210294309,2865113
0_486922,296.033957829,2865113
0_487525,296.057834808,2865113
0_488774,296.62614289,2865113
0_489011,296.444140192,2865113
0_489207,295.859754125,2865113
0_490399,295.730237772,2865113
0_491900,296.243114394,2865113
0_493878,296.164107381,2865113
0_494176,295.932894003,2865113
0_494680,296.842097556,2865113
0_495359,296.417695295,2865113
0_496333,296.383986463,2865113
0_496402,296.452315479,2865113
0_497396,295.882052006,2865113
0_502300,296.559687971,2865113
0_502591,296.791200158,2865113
0_504163,296.898583858,2865113
0_507472,296.207978647,2865113
0_507936,296.109569579,2865113
0_508641,296.431418439,2865113
0_510571,295.991820905,2865113
0_510911,295.904840369,2865113
