#sampleID,sum_PRS,SNP_N
0_100047,296.619496249,2865113
0_100104,296.030872595,2865113
0_100527,295.818835858,2865113
0_100535,296.829809581,2865113
0_100675,295.693959429,2865113
0_100703,296.400390643,2865113
0_100796,296.822617488,2865113
0_101736,296.315453206,2865113
0_101892,295.771264597,2865113
0_102348,296.216923613,2865113
0_102405,296.414791383,2865113
0_102557,296.084680457,2865113
0_102595,296.147860576,2865113
0_102783,296.746189183,2865113
0_102956,295.753239309,2865113
0_103505,295.902780826,2865113
0_103698,296.551416684,2865113
0_103699,295.618346091,2865113
0_103704,295.109268786,2865113
0_104105,296.462856126,2865113
0_104168,296.371968468,2865113
0_104475,296.053429259,2865113
0_104511,296.063903813,2865113
0_104536,296.166304787,2865113
0_104671,296.186777833,2865113
0_104704,296.337182762,2865113
0_104708,296.04594599,2865113
0_104775,296.691775533,2865113
0_104827,295.842787982,2865113
0_104988,296.828705146,2865113
0_105104,295.947078725,2865113
0_105279,296.259515573,2865113
0_105477,296.216681336,2865113
0_105644,296.019671687,2865113
0_105676,296.422485184,2865113
0_105799,296.606400238,2865113
0_105806,295.499120812,2865113
0_105826,296.256481105,2865113
0_105841,296.278096221,2865113
0_105843,296.171170981,2865113
0_106076,296.263415834,2865113
0_106086,296.021135594,2865113
0_106087,296.488466347,2865113
0_106219,296.032436916,2865113
0_106249,296.662199689,2865113
0_106406,296.183107976,2865113
0_106759,296.899990556,2865113
0_107054,296.470530249,2865113
0_107235,295.976407423,2865113
0_107601,296.408185039,2865113
0_107619,296.471654017,2865113
0_108018,296.384442688,2865113
0_108047,296.64134691,2865113
0_108380,296.571991106,2865113
0_108807,296.74749547,2865113
0_108868,295.953774706,2865113
0_109032,295.309073989,2865113
0_109076,295.88402417,2865113
0_109494,296.68812279,2865113
0_109590,296.100195994,2865113
0_110288,296.581295479,2865113
0_110476,296.346218787,2865113
0_110502,295.76549702,2865113
0_110589,295.69548565,2865113
0_110842,296.709183628,2865113
0_110957,296.381302212,2865113
0_111002,296.728544355,2865113
0_111173,296.462339884,2865113
0_111346,296.444317086,2865113
0_111378,296.025645775,2865113
0_111476,296.633824521,2865113
0_111598,296.874987074,2865113
0_111645,296.225413341,2865113
0_111744,295.513487566,2865113
0_111943,295.764331475,2865113
0_112235,296.272723552,2865113
0_112389,296.592705657,2865113
0_112609,296.702774524,2865113
0_112755,296.701181836,2865113
0_113019,295.514912787,2865113
0_113180,296.059829693,2865113
0_113333,295.973015717,2865113
0_113525,296.165257822,2865113
0_113580,296.591242705,2865113
0_113667,296.267823236,2865113
0_113787,296.247480771,2865113
0_113864,295.922358319,2865113
0_113891,296.714802929,2865113
0_114034,296.503725566,2865113
0_114129,295.909566278,2865113
0_114224,296.637353248,2865113
0_114586,295.328434372,2865113
0_114753,296.863030866,2865113
0_114857,296.838995364,2865113
0_114875,296.181379186,2865113
0_114888,296.237392464,2865113
0_115444,296.124197951,2865113
0_115521,296.094535994,2865113
0_115714,296.626660308,2865113
0_115757,296.615809952,2865113
0_115766,296.740282279,2865113
0_115943,296.662350292,2865113
0_116024,295.927264789,2865113
0_116203,296.590421371,2865113
0_116215,296.29064122,2865113
0_116218,295.380094123,2865113
0_116235,295.368528501,2865113
0_116341,296.59049118,2865113
0_116437,296.700580267,2865113
0_116718,296.161301144,2865113
0_116721,296.350734136,2865113
0_116748,297.166682259,2865113
0_117151,295.923311391,2865113
0_117403,295.285733196,2865113
0_117468,296.395755191,2865113
0_117571,296.382015685,2865113
0_117712,296.125370698,2865113
0_117733,296.519209699,2865113
0_117806,296.129644771,2865113
0_117990,296.0187622,2865113
0_118086,296.441049727,2865113
0_118223,296.239479768,2865113
0_118295,296.640409048,2865113
0_118316,295.925668151,2865113
0_118473,296.135468626,2865113
0_118486,295.452520537,2865113
0_118650,296.596408367,2865113
0_118866,295.836178073,2865113
0_119419,295.996548159,2865113
0_119432,296.026702215,2865113
0_119467,296.262927863,2865113
0_119683,296.349519229,2865113
0_119932,296.777500918,2865113
0_119971,295.940409791,2865113
0_119974,295.765797695,2865113
0_120050,296.29622905,2865113
0_120143,295.427227433,2865113
0_120173,296.631228411,2865113
0_120241,296.186388633,2865113
0_120431,296.251873748,2865113
0_120878,296.066809191,2865113
0_120926,296.569063322,2865113
0_120998,296.719208865,2865113
0_121087,296.322277515,2865113
0_121092,296.00249855,2865113
0_121113,296.337413753,2865113
0_121504,296.34070049,2865113
0_121592,296.048417607,2865113
0_121630,296.838874958,2865113
0_121802,296.284207078,2865113
0_122272,297.134608899,2865113
0_122298,296.153235871,2865113
0_122362,296.154903834,2865113
0_122704,296.09433989,2865113
0_122727,296.355645622,2865113
0_122744,296.256089287,2865113
0_122759,296.554421305,2865113
0_122764,296.61810862,2865113
0_122832,296.122810269,2865113
0_123019,296.404772518,2865113
0_123106,296.545837603,2865113
0_123157,296.744330582,2865113
0_123171,295.903066736,2865113
0_123280,295.996875768,2865113
0_123313,296.204313762,2865113
0_123456,296.663149467,2865113
0_123667,296.976796926,2865113
0_123692,295.585698036,2865113
0_123771,296.335678425,2865113
0_124469,295.412720219,2865113
0_124516,295.930923551,2865113
0_124578,296.96134011,2865113
0_124826,295.981138266,2865113
0_124979,296.446984079,2865113
0_124997,296.444571669,2865113
0_125070,296.945949762,2865113
0_125081,296.212310248,2865113
0_125100,296.250167479,2865113
0_125132,295.766302671,2865113
0_125140,296.178442044,2865113
0_125232,295.89049899,2865113
0_125368,296.518459731,2865113
0_125449,296.192143366,2865113
0_125654,295.385246741,2865113
0_125692,296.060694844,2865113
0_125819,295.822204183,2865113
0_126035,296.090911029,2865113
0_126039,296.106499625,2865113
0_126185,297.022419565,2865113
0_126310,296.287238834,2865113
0_126344,296.273079375,2865113
0_126513,296.618703864,2865113
0_126617,295.972910847,2865113
0_126700,297.41238539,2865113
0_126858,296.085796195,2865113
0_126878,296.361877167,2865113
0_126909,296.323743336,2865113
0_127072,296.238604669,2865113
0_127297,296.267788574,2865113
0_127401,296.680379514,2865113
0_127410,295.939858972,2865113
0_127740,296.10582404,2865113
0_128089,296.063049894,2865113
0_128304,296.382125797,2865113
0_128380,296.470639678,2865113
0_128668,296.479229203,2865113
0_128878,296.090851118,2865113
0_129109,296.721616187,2865113
0_129190,295.994306777,2865113
0_129385,296.240613201,2865113
0_129464,296.506333608,2865113
0_129581,296.378507664,2865113
0_129637,295.901936728,2865113
0_129641,296.395276371,2865113
0_129704,296.066620005,2865113
0_129941,296.319017683,2865113
0_129989,296.348162232,2865113
0_130061,296.357157595,2865113
0_130094,296.291339402,2865113
0_130114,296.370073561,2865113
0_130123,296.66973749,2865113
0_130248,295.817207869,2865113
0_130283,296.273942628,2865113
0_130515,295.620431216,2865113
0_130579,296.467655184,2865113
0_130611,295.998829919,2865113
0_130632,295.903659637,2865113
0_130653,296.651051543,2865113
0_130735,296.342949903,2865113
0_131168,296.428260592,2865113
0_131190,296.202268984,2865113
0_131250,296.275407891,2865113
0_131405,296.38040738,2865113
0_131532,296.379778009,2865113
0_131610,295.924037541,2865113
0_131626,296.304565177,2865113
0_131671,296.328266289,2865113
0_131714,297.111845849,2865113
0_131717,296.610169462,2865113
0_131825,296.312959037,2865113
0_131883,296.055539438,2865113
0_131884,296.26788374,2865113
0_131908,296.714943681,2865113
0_131954,296.840515249,2865113
0_131964,296.361192569,2865113
0_131975,296.111405539,2865113
0_132055,295.485395397,2865113
0_132063,295.564505503,2865113
0_132084,296.836084661,2865113
0_132553,296.376996941,2865113
0_132661,296.536359896,2865113
0_132715,296.608820481,2865113
0_132811,296.315267497,2865113
0_132837,295.794711372,2865113
0_132972,296.123267524,2865113
0_133156,296.099837598,2865113
0_133190,296.025595419,2865113
0_133354,296.296496686,2865113
0_133436,295.989524062,2865113
0_133529,296.174387513,2865113
0_133594,296.158643951,2865113
0_133725,296.332461115,2865113
0_134038,297.174251455,2865113
0_134073,296.37400511,2865113
0_134210,296.243496357,2865113
0_134266,296.118524478,2865113
0_134430,295.895448395,2865113
0_134525,296.553583142,2865113
0_134594,295.41071723,2865113
0_134844,296.440434569,2865113
0_134852,296.133969724,2865113
0_134900,295.507405422,2865113
0_135279,296.402547294,2865113
0_135495,295.92606791,2865113
0_135600,295.87280596,2865113
0_135968,296.074185097,2865113
0_136433,296.69098984,2865113
0_136700,295.66425084,2865113
0_136714,296.26141843,2865113
0_136841,295.812971642,2865113
0_137041,295.803215112,2865113
0_137287,296.333798774,2865113
0_137289,296.101827837,2865113
0_137306,296.280170998,2865113
0_137313,296.117282358,2865113
0_137402,295.98522526,2865113
0_137594,296.918070233,2865113
0_137710,296.608310225,2865113
0_137834,296.801215464,2865113
0_137892,296.554462269,2865113
0_137904,296.057055187,2865113
0_138321,296.185089526,2865113
0_138432,296.064523775,2865113
0_138469,296.861607584,2865113
0_138678,295.927453555,2865113
0_138690,296.677606549,2865113
0_138746,296.297844398,2865113
0_138755,295.668672838,2865113
0_138785,295.7778382,2865113
0_139469,296.142772696,2865113
0_139514,295.80211901,2865113
0_139525,295.684625201,2865113
0_139699,296.820355288,2865113
0_139941,295.396736872,2865113
0_140124,296.204395123,2865113
0_140194,296.144595515,2865113
0_140675,296.185659994,2865113
0_140696,296.123130663,2865113
0_140826,296.159816049,2865113
0_140899,296.146101608,2865113
0_141006,296.685780458,2865113
0_141025,296.418788101,2865113
0_141196,296.14422367,2865113
0_141301,296.578199076,2865113
0_141371,296.228283724,2865113
0_141427,296.188061664,2865113
0_141543,295.97634926,2865113
0_141836,296.828578156,2865113
0_141898,296.332836679,2865113
0_142015,296.408392955,2865113
0_142102,295.976397915,2865113
0_142260,296.050563032,2865113
0_142278,296.111515467,2865113
0_142647,296.026059719,2865113
0_142734,296.504627577,2865113
0_143124,296.498903585,2865113
0_143125,296.443093379,2865113
0_143205,296.447955214,2865113
0_143209,295.966093536,2865113
0_143806,295.972681267,2865113
0_143933,295.94565187,2865113
0_144090,295.829223493,2865113
0_144139,295.943638758,2865113
0_144222,296.01674002,2865113
0_144288,295.982750215,2865113
0_144293,295.86140382,2865113
0_144402,296.141648509,2865113
0_144766,295.867485801,2865113
0_144955,296.441433011,2865113
0_145414,295.795503088,2865113
0_145516,296.106904474,2865113
0_145765,296.875323817,2865113
0_145798,296.643502198,2865113
0_145936,296.446774999,2865113
0_145986,296.068138387,2865113
0_145994,295.56459831,2865113
0_146169,295.968494464,2865113
0_146204,296.374789546,2865113
0_146333,296.134547631,2865113
0_146638,296.145643667,2865113
0_146672,295.915499115,2865113
0_146854,296.441899171,2865113
0_146982,296.152719765,2865113
0_147129,296.105755321,2865113
0_147150,296.576238435,2865113
0_147232,296.197452243,2865113
0_147477,296.756303699,2865113
0_147500,295.719540075,2865113
0_147502,296.330100019,2865113
0_147631,296.388302612,2865113
0_147701,296.30763763,2865113
0_147778,295.792501151,2865113
0_148053,296.187542351,2865113
0_148117,296.293101253,2865113
0_148141,296.313215693,2865113
0_148253,296.059364843,2865113
0_148364,296.55807508,2865113
0_148546,295.562544513,2865113
0_148557,295.676086284,2865113
0_148602,295.976443327,2865113
0_148773,295.668358226,2865113
0_149124,296.240028324,2865113
0_149224,296.058102065,2865113
0_149674,296.110993043,2865113
0_149971,296.7432535,2865113
0_150157,296.049487118,2865113
0_150183,295.907793347,2865113
0_150305,295.744578512,2865113
0_150638,295.775275538,2865113
0_150984,296.367361479,2865113
0_151005,296.325007835,2865113
0_151277,295.874570286,2865113
0_151421,296.271679363,2865113
0_151571,296.024036954,2865113
0_151636,296.620013012,2865113
0_151657,296.071464346,2865113
0_151662,296.629960342,2865113
0_151720,295.690329941,2865113
0_151810,295.904367184,2865113
0_151851,296.377878028,2865113
0_151953,296.650899018,2865113
0_151973,295.880158154,2865113
0_152026,295.494005276,2865113
0_152198,296.555115396,2865113
0_152706,296.39113529,2865113
0_152793,296.232839311,2865113
0_152918,296.034777878,2865113
0_152980,296.853187918,2865113
0_153167,296.313002141,2865113
0_153673,296.623479098,2865113
0_153798,296.443279186,2865113
0_153861,295.776116291,2865113
0_153873,296.369321977,2865113
0_153920,296.006006978,2865113
0_153998,296.481824949,2865113
0_154023,296.15554918,2865113
0_154146,296.86565171,2865113
0_154187,296.826169542,2865113
0_154458,296.590918086,2865113
0_154477,296.175809829,2865113
0_154509,296.107036886,2865113
0_154589,296.570773202,2865113
0_154816,295.545556667,2865113
0_154896,296.308349271,2865113
0_155105,296.520265509,2865113
0_155203,295.757739153,2865113
0_155280,296.350787452,2865113
0_155326,296.614158296,2865113
0_155410,296.705064024,2865113
0_155583,295.934802616,2865113
0_155642,296.414403005,2865113
0_155662,296.117712018,2865113
0_156187,295.948957733,2865113
0_156240,296.498035785,2865113
0_156422,296.218599774,2865113
0_156533,295.920260036,2865113
0_156959,296.245404468,2865113
0_157009,296.454982947,2865113
