#sampleID,sum_PRS,SNP_N
0_100277,10568.624983788357,2772827
0_100579,10562.898913885461,2772827
0_104482,10563.615808387645,2772827
0_110342,10568.426973449792,2772827
0_111021,10564.727100633054,2772827
0_111252,10566.958126372188,2772827
0_112369,10568.540871017325,2772827
0_114247,10569.533289568646,2772827
0_116067,10568.322481659445,2772827
0_120579,10562.71724876212,2772827
0_122464,10568.811555161628,2772827
0_124990,10564.893854042344,2772827
0_127293,10566.014014210836,2772827
0_127758,10567.717530567268,2772827
0_129572,10564.593888024861,2772827
0_130548,10563.31657817251,2772827
0_130819,10565.236385804834,2772827
0_132169,10568.972488620328,2772827
0_134328,10567.845975086702,2772827
0_134367,10571.488467403418,2772827
0_134943,10565.769771803429,2772827
0_136105,10567.688701777732,2772827
0_136177,10567.561118397976,2772827
0_136466,10564.089479058177,2772827
0_136645,10569.321636566592,2772827
0_137682,10568.544730411719,2772827
0_141456,10567.211166776759,2772827
0_142669,10569.839522497614,2772827
0_143546,10569.412437594781,2772827
0_144706,10567.150096549127,2772827
0_145248,10566.006802113678,2772827
0_146254,10571.71316047645,2772827
0_147768,10566.854199029753,2772827
0_149197,10568.711330163887,2772827
0_149954,10566.693694283249,2772827
0_152569,10566.01257797008,2772827
0_153369,10569.339592892844,2772827
0_153809,10565.153385584572,2772827
0_157010,10568.651315214842,2772827
0_164212,10564.276435332988,2772827
0_164389,10565.309995168605,2772827
0_166699,10568.59093539193,2772827
0_170035,10569.336082652893,2772827
0_171045,10567.06367063402,2772827
0_171313,10569.5345297382,2772827
0_172126,10572.58216206156,2772827
0_172804,10565.777719957612,2772827
0_176132,10564.474377727125,2772827
0_178001,10567.944058558647,2772827
0_178581,10567.831570766497,2772827
0_179948,10564.500582115492,2772827
0_181181,10568.679268080195,2772827
0_182015,10568.342507961244,2772827
0_183821,10570.481309613806,2772827
0_187084,10568.636603722975,2772827
0_187299,10569.972976771876,2772827
0_187816,10567.95734332217,2772827
0_188827,10567.252243299876,2772827
0_189235,10566.076949172697,2772827
0_189532,10571.6009442495,2772827
0_189714,10565.49594720966,2772827
0_191540,10569.897452861605,2772827
0_192069,10568.603124685102,2772827
0_193775,10569.013502964504,2772827
0_197113,10569.467179826774,2772827
0_197911,10567.948233475125,2772827
0_198054,10568.833886403037,2772827
0_200064,10570.983229774944,2772827
0_200239,10571.825358111402,2772827
0_200649,10566.914286466488,2772827
0_200948,10567.196587636494,2772827
0_202050,10568.769061446224,2772827
0_202341,10568.80360389616,2772827
0_203050,10568.227018216687,2772827
0_205015,10568.265787654587,2772827
0_206131,10568.55439956877,2772827
0_206281,10567.027568035468,2772827
0_209990,10569.356012521397,2772827
0_211140,10566.758382165524,2772827
0_216174,10568.215343862585,2772827
0_219178,10567.738720036412,2772827
0_221386,10570.079203971776,2772827
0_224580,10567.65466869738,2772827
0_229297,10567.273874006118,2772827
0_229481,10568.26989240751,2772827
0_230183,10568.065577031784,2772827
0_230939,10566.21040727096,2772827
0_233178,10567.918561711966,2772827
0_233509,10569.027624808743,2772827
0_234187,10568.380933722081,2772827
0_237208,10565.576312583928,2772827
0_237827,10564.57806088099,2772827
0_238446,10566.957868069334,2772827
0_239391,10568.505048339639,2772827
0_239683,10567.962241353067,2772827
0_240200,10567.049745721666,2772827
0_242635,10567.49260166811,2772827
0_245496,10571.654329429406,2772827
0_247306,10571.0179629365,2772827
0_250961,10562.936100342422,2772827
0_252605,10570.851538681902,2772827
0_252905,10568.135752490187,2772827
0_253580,10566.168490493063,2772827
0_254190,10566.180398874603,2772827
0_254508,10567.287454680614,2772827
0_255737,10566.815909246972,2772827
0_256413,10568.539572106694,2772827
0_256926,10572.153198150412,2772827
0_258774,10569.287522092032,2772827
0_261082,10566.3472664376,2772827
0_261389,10559.406638760982,2772827
0_262855,10570.866384226158,2772827
0_263767,10572.22504487643,2772827
0_264155,10568.010528374545,2772827
0_268041,10569.203518988923,2772827
0_268479,10569.216235084137,2772827
0_268679,10565.867799312146,2772827
0_272167,10571.311207559263,2772827
0_274379,10566.792715848671,2772827
0_274778,10572.596402050838,2772827
0_275369,10567.307657615353,2772827
0_277302,10568.700678127505,2772827
0_279695,10565.16089519749,2772827
0_279795,10569.695661287855,2772827
0_280049,10568.812832103356,2772827
0_282138,10562.26138893839,2772827
0_282693,10568.14504812918,2772827
0_284101,10566.540828120666,2772827
0_284229,10567.317309987791,2772827
0_284310,10566.435204899359,2772827
0_287604,10565.640685116496,2772827
0_288214,10568.465842295935,2772827
0_290812,10567.426623191612,2772827
0_291575,10566.37969880914,2772827
0_292324,10573.333072742289,2772827
0_293028,10570.806208809761,2772827
0_294488,10568.444209485788,2772827
0_294537,10568.622699454247,2772827
0_294716,10571.340930418317,2772827
0_297548,10564.70993066194,2772827
0_298025,10567.607544637007,2772827
0_298222,10563.120816389805,2772827
0_298401,10568.59993239275,2772827
0_299516,10569.737180265109,2772827
0_300311,10567.657378140695,2772827
0_300874,10571.470856645736,2772827
0_301964,10569.764656226824,2772827
0_302416,10561.20313264537,2772827
0_303379,10567.853475707054,2772827
0_306544,10569.501501469163,2772827
0_306781,10568.45635923857,2772827
0_307309,10565.79380822117,2772827
0_308623,10568.399327610401,2772827
0_309854,10578.139353790697,2772827
0_310394,10565.96813685365,2772827
0_313692,10567.682650074534,2772827
0_314384,10568.072839654767,2772827
0_316176,10564.561576145978,2772827
0_316724,10567.05776397548,2772827
0_318585,10567.457046113348,2772827
0_320153,10568.259789424932,2772827
0_320183,10571.81523658526,2772827
0_325099,10565.524530382152,2772827
0_325541,10563.034815177809,2772827
0_325931,10564.315703299542,2772827
0_326990,10570.346454397742,2772827
0_328491,10570.994735361146,2772827
0_328555,10562.01675106789,2772827
0_328808,10569.068690546306,2772827
0_329299,10564.765726962718,2772827
0_330232,10567.842247768565,2772827
0_330942,10569.099446337717,2772827
0_336267,10568.977281155714,2772827
0_336635,10568.57151405951,2772827
0_336708,10569.416819275933,2772827
0_337936,10569.35672295049,2772827
0_338457,10568.54213977821,2772827
0_338926,10570.33842602137,2772827
0_341421,10564.5147883868,2772827
0_342781,10566.831086369928,2772827
0_346393,10564.974111960719,2772827
0_347817,10568.371668155241,2772827
0_348024,10574.48581438187,2772827
0_349955,10568.681627929853,2772827
0_350581,10567.49906897655,2772827
0_351280,10567.034812732654,2772827
0_351346,10567.706508825831,2772827
0_352287,10562.30478883272,2772827
0_353177,10564.535988437121,2772827
0_354504,10563.680015443093,2772827
0_355319,10563.89865182392,2772827
0_356315,10568.666877134143,2772827
0_357020,10564.173685004012,2772827
0_358623,10566.658237185451,2772827
0_359746,10565.390237175861,2772827
0_360093,10566.39613932652,2772827
0_364479,10567.147380054757,2772827
0_367968,10568.812153568786,2772827
0_369915,10568.8838814559,2772827
0_373519,10570.027412346984,2772827
0_374934,10566.951639531988,2772827
0_375079,10568.940226121505,2772827
0_376866,10565.514163616659,2772827
0_378996,10565.586421685779,2772827
0_383833,10565.44368911149,2772827
0_384459,10568.800147882863,2772827
0_388685,10568.143319157645,2772827
0_390025,10567.287180425552,2772827
0_391424,10567.784525894269,2772827
0_395737,10570.84812793479,2772827
0_396323,10564.142579974297,2772827
0_399418,10566.32179451481,2772827
0_400332,10566.758883375385,2772827
0_404355,10566.857220210488,2772827
0_405176,10564.265517466523,2772827
0_407237,10571.630250015425,2772827
0_407282,10569.918884065213,2772827
0_409558,10568.665776866843,2772827
0_411165,10567.48526317994,2772827
0_411616,10568.457635365194,2772827
0_412706,10564.634327058871,2772827
0_412865,10571.224982139598,2772827
0_413987,10568.248116351328,2772827
0_414071,10568.398294116527,2772827
0_414348,10566.400075915964,2772827
0_416108,10566.15460130106,2772827
0_416492,10569.254487079479,2772827
0_417563,10568.663572723506,2772827
0_418239,10569.181554146837,2772827
0_418623,10568.304058156402,2772827
0_419214,10565.651001352502,2772827
0_420039,10568.425301226342,2772827
0_420696,10568.89031622038,2772827
0_420862,10569.72602618555,2772827
0_420901,10566.283763882378,2772827
0_421434,10568.663720642542,2772827
0_423476,10564.547488482673,2772827
0_424259,10569.86782842618,2772827
0_427881,10565.237586510977,2772827
0_429370,10568.321657574299,2772827
0_431377,10566.213191111647,2772827
0_432181,10571.611136604963,2772827
0_433534,10565.953259753702,2772827
0_433997,10568.465441382508,2772827
0_436053,10563.064212489362,2772827
0_437442,10569.81136528622,2772827
0_438844,10567.045990422497,2772827
0_440075,10568.307530653285,2772827
0_442059,10571.793469200327,2772827
0_443336,10569.130445577559,2772827
0_444441,10568.739156131473,2772827
0_445709,10568.450796214527,2772827
0_450006,10564.85350437436,2772827
0_450187,10565.84858649278,2772827
0_451478,10568.02959508021,2772827
