#sampleID,sum_PRS,SNP_N
0_100047,10566.009012348193,2772827
0_100104,10568.442356360958,2772827
0_100527,10573.44664196201,2772827
0_100535,10567.61671109529,2772827
0_100675,10574.582930676353,2772827
0_100703,10566.912875764123,2772827
0_100796,10570.312476511006,2772827
0_101736,10569.882736906593,2772827
0_101892,10570.865231683858,2772827
0_102348,10573.836583636885,2772827
0_102405,10568.03104520183,2772827
0_102557,10568.283576711332,2772827
0_102595,10566.17745900997,2772827
0_102783,10574.972019335262,2772827
0_102956,10574.267542969137,2772827
0_103505,10568.1637740468,2772827
0_103698,10570.70654637944,2772827
0_103699,10567.844063308758,2772827
0_103704,10577.436038556572,2772827
0_104105,10567.547329636716,2772827
0_104168,10567.429165998417,2772827
0_104475,10567.716248885637,2772827
0_104511,10575.277107395554,2772827
0_104536,10572.182215441342,2772827
0_104671,10565.40596297054,2772827
0_104704,10575.53999864212,2772827
0_104708,10569.928936758612,2772827
0_104775,10568.377170952377,2772827
0_104827,10572.295639440232,2772827
0_104988,10564.623689354143,2772827
0_105104,10565.291175844848,2772827
0_105279,10570.51950277507,2772827
0_105477,10569.53498938073,2772827
0_105644,10576.637871218769,2772827
0_105676,10567.30823809814,2772827
0_105799,10565.819679927177,2772827
0_105806,10566.978368414242,2772827
0_105826,10571.27915443185,2772827
0_105841,10565.667711841166,2772827
0_105843,10564.916225317096,2772827
0_106076,10573.55373972332,2772827
0_106086,10569.722122174917,2772827
0_106087,10568.564494358818,2772827
0_106219,10569.05621331523,2772827
0_106249,10565.984636649822,2772827
0_106406,10575.237081797039,2772827
0_106759,10571.974072232968,2772827
0_107054,10569.199127741855,2772827
0_107235,10574.096862486913,2772827
0_107601,10567.08842894324,2772827
0_107619,10575.300261703173,2772827
0_108018,10563.42223315641,2772827
0_108047,10572.357123903177,2772827
0_108380,10568.398832961344,2772827
0_108807,10567.852674252228,2772827
0_108868,10573.645190808951,2772827
0_109032,10577.270370603394,2772827
0_109076,10571.778209134667,2772827
0_109494,10566.498273507688,2772827
0_109590,10568.407786149786,2772827
0_110288,10566.003265499627,2772827
0_110476,10576.712262326912,2772827
0_110502,10570.762393077797,2772827
0_110589,10569.260799932159,2772827
0_110842,10570.106964771594,2772827
0_110957,10564.899816573683,2772827
0_111002,10568.732396608386,2772827
0_111173,10565.015368186683,2772827
0_111346,10568.5938716402,2772827
0_111378,10568.246761175817,2772827
0_111476,10571.502340395547,2772827
0_111598,10573.575500032443,2772827
0_111645,10570.790398259112,2772827
0_111744,10574.90815800352,2772827
0_111943,10569.290783773198,2772827
0_112235,10567.875638306765,2772827
0_112389,10571.697843420885,2772827
0_112609,10573.20433652566,2772827
0_112755,10571.660744480632,2772827
0_113019,10573.956332292159,2772827
0_113180,10572.117806408285,2772827
0_113333,10573.609614002948,2772827
0_113525,10571.333627285765,2772827
0_113580,10566.56679155931,2772827
0_113667,10573.153849566608,2772827
0_113787,10569.801370397188,2772827
0_113864,10577.874355710963,2772827
0_113891,10566.791259813514,2772827
0_114034,10567.37927356703,2772827
0_114129,10575.589585787893,2772827
0_114224,10569.729498949464,2772827
0_114586,10567.578977708283,2772827
0_114753,10564.1964259257,2772827
0_114857,10571.652890872474,2772827
0_114875,10566.496185968743,2772827
0_114888,10575.297289048793,2772827
0_115444,10574.72542962449,2772827
0_115521,10567.926635479105,2772827
0_115714,10569.804918914948,2772827
0_115757,10568.668778454325,2772827
0_115766,10569.559239930817,2772827
0_115943,10563.092668331741,2772827
0_116024,10567.364675658322,2772827
0_116203,10565.599292831062,2772827
0_116215,10572.878212958958,2772827
0_116218,10572.009637624593,2772827
0_116235,10572.714363086063,2772827
0_116341,10569.722362821693,2772827
