#FID IID
3056490 3056490
1097071 1097071
5392302 5392302
4893551 4893551
4526692 4526692
1012016 1012016
2573584 2573584
2213696 2213696
3967783 3967783
1929510 1929510
1542875 1542875
1530797 1530797
5502882 5502882
5959718 5959718
1729747 1729747
4014862 4014862
1716792 1716792
2538615 2538615
5200025 5200025
3856646 3856646
5466462 5466462
3056705 3056705
5203636 5203636
1279878 1279878
3794854 3794854
1723526 1723526
2162316 2162316
1537366 1537366
2546774 2546774
4057484 4057484
4073816 4073816
5742471 5742471
4190256 4190256
5030625 5030625
3674744 3674744
4131457 4131457
4292231 4292231
2089047 2089047
5978435 5978435
3550317 3550317
4919521 4919521
5331870 5331870
1765015 1765015
2916909 2916909
5409548 5409548
1954436 1954436
4725914 4725914
3259673 3259673
5777577 5777577
1351092 1351092
5576058 5576058
2726947 2726947
4113643 4113643
3240960 3240960
4885773 4885773
5545109 5545109
4973751 4973751
4515112 4515112
4457090 4457090
3270159 3270159
5501078 5501078
3457883 3457883
2483253 2483253
4939303 4939303
5299917 5299917
3535657 3535657
4341978 4341978
2977558 2977558
1518304 1518304
1200277 1200277
4724632 4724632
3455682 3455682
3905156 3905156
4787627 4787627
5178520 5178520
2416270 2416270
1684267 1684267
4085429 4085429
1205465 1205465
5698125 5698125
2954958 2954958
1767874 1767874
3068511 3068511
1594065 1594065
5203302 5203302
4884309 4884309
4859695 4859695
3689088 3689088
5851120 5851120
2993191 2993191
3464714 3464714
2171667 2171667
4088899 4088899
2899121 2899121
1251478 1251478
2312195 2312195
3227505 3227505
3257444 3257444
2373498 2373498
3977107 3977107
2242663 2242663
5354138 5354138
2706898 2706898
3837327 3837327
5013199 5013199
1327515 1327515
4197710 4197710
5713206 5713206
5848563 5848563
2532525 2532525
2440728 2440728
2907245 2907245
2030455 2030455
1691879 1691879
1247012 1247012
1785994 1785994
2450090 2450090
4946325 4946325
4493241 4493241
5345526 5345526
1975287 1975287
1274587 1274587
2216386 2216386
1169621 1169621
3911600 3911600
1903484 1903484
1060573 1060573
4807528 4807528
4771480 4771480
1679587 1679587
5143742 5143742
4691839 4691839
2301677 2301677
5872711 5872711
5010623 5010623
2717462 2717462
2573931 2573931
2219279 2219279
4378766 4378766
3979176 3979176
1637618 1637618
5370948 5370948
3536062 3536062
1214549 1214549
3594589 3594589
1472244 1472244
2223858 2223858
4673126 4673126
2237075 2237075
5953037 5953037
3746770 3746770
2082681 2082681
2471187 2471187
3402692 3402692
2709645 2709645
5113582 5113582
2900858 2900858
1416138 1416138
3819788 3819788
1464873 1464873
1724654 1724654
4970741 4970741
2849952 2849952
4155828 4155828
1306056 1306056
2935595 2935595
1891157 1891157
4589790 4589790
1619418 1619418
1146744 1146744
