***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Tue Feb  5 10:07:05 2019

Options:

--sbayes R
--ldm ../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_1.ma
--out sim_1
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
15919 SNPs to be included from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_1.ma].
15919 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15919 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 4796.67 sd 1.48613e+06.
LD matrix diagnal mean 1.00391 sd 0.0523117.
Read LD matrix for 15919 SNPs (time used: 0:0:2).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect   -0.000    0.122
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.478   19.774
                     MME right-hand-side    0.059   20.572
                    LD sampling variance    1.298    0.076
                                LD score   17.359   15.140

Approximate BayesR model fitted.
scale factor: 6.2818e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9502       0.0113       0.0211       0.0174         775        0.0001       0.9773       0.0268       0.0267       0.0000        0:0:0   
    20        0.9508       0.0118       0.0181       0.0192         746        0.0001       0.9667       0.0330       0.0330       0.0000        0:0:0   
    30        0.9484       0.0127       0.0150       0.0240         811        0.0001       0.9801       0.0486       0.0473       0.0000       0:5:32   
    40        0.9426       0.0215       0.0147       0.0212         855        0.0002       0.9182       0.0528       0.0544       0.0000        0:4:9   
    50        0.9426       0.0204       0.0121       0.0249         902        0.0002       0.8175       0.0741       0.0831       0.0000       0:3:19   
    60        0.9488       0.0180       0.0112       0.0220         809        0.0002       0.9992       0.0762       0.0708       0.0000       0:2:45   
    70        0.9419       0.0187       0.0126       0.0268         902        0.0003       0.9209       0.1101       0.1068       0.0000       0:2:21   
    80        0.9500       0.0132       0.0101       0.0267         805        0.0002       0.8784       0.0920       0.0948       0.0000        0:2:4   
    90        0.9490       0.0165       0.0045       0.0300         859        0.0002       0.8333       0.1174       0.1235       0.0000       0:3:40   
    100       0.9545       0.0145       0.0029       0.0282         742        0.0004       0.8052       0.1443       0.1520       0.0000       0:3:18   
    110       0.9596       0.0153       0.0022       0.0228         643        0.0004       0.9088       0.1265       0.1222       0.0001       0:2:59   
    120       0.9614       0.0092       0.0024       0.0270         579        0.0002       0.8183       0.0980       0.1069       0.0001       0:2:44   
    130       0.9645       0.0089       0.0030       0.0235         541        0.0002       0.9120       0.0673       0.0687       0.0001       0:2:31   
    140       0.9708       0.0063       0.0020       0.0209         491        0.0001       0.8588       0.0478       0.0528       0.0001       0:2:20   
    150       0.9737       0.0042       0.0008       0.0213         469        0.0002       1.0876       0.0732       0.0630       0.0001       0:3:17   
