***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Mon Feb  4 16:37:43 2019

Options:

--sbayes R
--ldm ../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_15.ma
--out sim_15
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
15938 SNPs to be included from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_15.ma].
15938 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15938 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 119.364 sd 5034.64.
LD matrix diagnal mean 1.0033 sd 0.052366.
Read LD matrix for 15938 SNPs (time used: 0:0:0).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect    0.000    0.121
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.247   19.794
                     MME right-hand-side   -0.217   20.722
                    LD sampling variance    1.004    0.002
                                LD score   18.234   15.565

Approximate BayesR model fitted.
scale factor: 6.27431e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9526       0.0149       0.0224       0.0101         766        0.0001       1.1244       0.0274       0.0238       0.0000        0:0:0   
    20        0.9641       0.0119       0.0169       0.0071         580        0.0001       1.0313       0.0141       0.0135       0.0000        0:0:0   
    30        0.9696       0.0084       0.0103       0.0117         488        0.0001       0.9688       0.0302       0.0302       0.0000        0:0:0   
    40        0.9715       0.0045       0.0074       0.0166         491        0.0001       0.8292       0.0297       0.0345       0.0000        0:0:0   
    50        0.9774       0.0041       0.0042       0.0142         349        0.0001       0.9248       0.0331       0.0346       0.0000        0:0:0   
    60        0.9770       0.0031       0.0031       0.0168         381        0.0002       0.8533       0.0468       0.0520       0.0000        0:0:0   
    70        0.9743       0.0037       0.0082       0.0138         369        0.0002       1.1392       0.0343       0.0292       0.0000        0:0:0   
    80        0.9777       0.0035       0.0037       0.0150         345        0.0003       1.0159       0.0647       0.0599       0.0000        0:0:0   
    90        0.9800       0.0051       0.0023       0.0126         327        0.0004       0.8327       0.0647       0.0721       0.0000        0:0:0   
    100       0.9821       0.0049       0.0038       0.0092         310        0.0005       0.8224       0.0929       0.1015       0.0000        0:0:0   
    110       0.9874       0.0031       0.0018       0.0076         187        0.0011       0.8135       0.1172       0.1259       0.0000        0:0:0   
    120       0.9881       0.0040       0.0033       0.0046         209        0.0018       0.8139       0.1962       0.1942       0.0000       0:1:22   
    130       0.9912       0.0024       0.0033       0.0031         162        0.0021       0.7962       0.1471       0.1559       0.0000       0:1:15   
    140       0.9889       0.0027       0.0066       0.0018         163        0.0024       0.8879       0.1040       0.1048       0.0000       0:1:10   
    150       0.9856       0.0041       0.0096       0.0008         235        0.0019       1.0085       0.0563       0.0529       0.0000        0:1:5   
    160       0.9776       0.0066       0.0145       0.0013         399        0.0016       0.9484       0.0906       0.0872       0.0000        0:1:1   
    170       0.9755       0.0077       0.0100       0.0068         358        0.0011       0.8629       0.1310       0.1318       0.0000       0:0:57   
    180       0.9695       0.0120       0.0095       0.0090         479        0.0014       0.7056       0.2252       0.2420       0.0000       0:0:54   
    190       0.9622       0.0175       0.0116       0.0087         566        0.0011       0.9966       0.1835       0.1555       0.0000       0:0:51   
    200       0.9659       0.0149       0.0110       0.0081         542        0.0009       0.8517       0.1399       0.1411       0.0000       0:0:49   
    210       0.9644       0.0086       0.0084       0.0186         576        0.0010       0.6631       0.3238       0.3281       0.0000       0:0:46   
    220       0.9623       0.0055       0.0206       0.0116         549        0.0008       0.8648       0.1772       0.1701       0.0000       0:0:44   
    230       0.9700       0.0016       0.0179       0.0105         472        0.0006       0.9312       0.1023       0.0990       0.0000       0:0:42   
    240       0.9588       0.0051       0.0231       0.0130         656        0.0004       0.8641       0.0979       0.1017       0.0000       0:0:40   
    250       0.9481       0.0088       0.0262       0.0169         804        0.0004       0.8249       0.1422       0.1471       0.0000       0:0:39   
    260       0.9557       0.0067       0.0246       0.0130         697        0.0004       0.9161       0.1159       0.1123       0.0000       0:0:37   
    270       0.9467       0.0129       0.0291       0.0114         903        0.0004       0.8163       0.1050       0.1140       0.0000       0:0:36   
    280       0.9516       0.0146       0.0256       0.0082         778        0.0003       1.0027       0.0628       0.0589       0.0000       0:0:34   
    290       0.9490       0.0138       0.0345       0.0028         875        0.0002       0.9612       0.0298       0.0301       0.0000       0:0:33   
