***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Mon Feb  4 16:39:25 2019

Options:

--sbayes R
--ldm ../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_16.ma
--out sim_16
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
15938 SNPs to be included from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_16.ma].
15938 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15938 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 119.364 sd 5034.64.
LD matrix diagnal mean 1.0033 sd 0.052366.
Read LD matrix for 15938 SNPs (time used: 0:0:0).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect    0.000    0.121
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.247   19.794
                     MME right-hand-side    0.396   20.400
                    LD sampling variance    1.004    0.002
                                LD score   18.234   15.565

Approximate BayesR model fitted.
scale factor: 6.27431e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9535       0.0187       0.0169       0.0108         756        0.0001       1.0065       0.0229       0.0223       0.0000        0:0:0   
    20        0.9561       0.0184       0.0192       0.0064         681        0.0001       0.9757       0.0132       0.0133       0.0000        0:0:0   
    30        0.9531       0.0140       0.0253       0.0077         727        0.0001       0.9112       0.0144       0.0156       0.0000        0:0:0   
    40        0.9493       0.0174       0.0216       0.0117         810        0.0001       1.1403       0.0257       0.0220       0.0000        0:0:0   
    50        0.9533       0.0159       0.0161       0.0147         749        0.0001       1.0148       0.0240       0.0231       0.0000        0:0:0   
    60        0.9543       0.0107       0.0179       0.0171         694        0.0002       0.9055       0.0497       0.0520       0.0000        0:0:0   
    70        0.9464       0.0097       0.0225       0.0214         802        0.0002       0.9450       0.0633       0.0627       0.0000        0:0:0   
    80        0.9404       0.0091       0.0311       0.0194         904        0.0002       0.9844       0.0611       0.0584       0.0000        0:0:0   
    90        0.9376       0.0044       0.0333       0.0247        1005        0.0001       0.8944       0.0523       0.0552       0.0000        0:0:0   
    100       0.9334       0.0046       0.0359       0.0261        1050        0.0001       0.9828       0.0614       0.0588       0.0000        0:0:0   
    110       0.9290       0.0042       0.0429       0.0239        1106        0.0002       0.9948       0.0545       0.0519       0.0000        0:0:0   
    120       0.8988       0.0131       0.0603       0.0279        1541        0.0001       0.9417       0.0538       0.0541       0.0000       0:1:22   
    130       0.8930       0.0101       0.0685       0.0283        1667        0.0001       0.9651       0.0542       0.0532       0.0000       0:1:15   
    140       0.8888       0.0136       0.0637       0.0338        1756        0.0001       0.9074       0.0450       0.0472       0.0000       0:1:10   
    150       0.8876       0.0259       0.0591       0.0275        1800        0.0001       0.8665       0.0460       0.0504       0.0000        0:1:5   
    160       0.8675       0.0236       0.0672       0.0418        2086        0.0001       0.8624       0.0871       0.0917       0.0000        0:1:1   
    170       0.8594       0.0287       0.0638       0.0480        2214        0.0001       0.8497       0.1094       0.1140       0.0000       0:0:57   
    180       0.8444       0.0371       0.0667       0.0518        2500        0.0001       0.8930       0.1386       0.1344       0.0000       0:0:54   
    190       0.8345       0.0362       0.0708       0.0585        2650        0.0002       0.8640       0.1557       0.1527       0.0000       0:0:51   
    200       0.8418       0.0396       0.0617       0.0569        2517        0.0001       0.8752       0.1222       0.1225       0.0000       0:0:49   
    210       0.8306       0.0512       0.0606       0.0576        2736        0.0001       0.8918       0.1439       0.1390       0.0000       0:0:46   
    220       0.8307       0.0526       0.0676       0.0491        2679        0.0002       0.8276       0.1400       0.1447       0.0000       0:0:44   
    230       0.8248       0.0555       0.0705       0.0492        2859        0.0002       0.8628       0.1741       0.1679       0.0000       0:0:42   
    240       0.8403       0.0554       0.0580       0.0464        2580        0.0001       0.8879       0.1290       0.1269       0.0000       0:0:40   
    250       0.8468       0.0568       0.0541       0.0423        2373        0.0002       0.9144       0.1243       0.1197       0.0000       0:0:39   
    260       0.8358       0.0518       0.0603       0.0522        2531        0.0001       0.8105       0.1271       0.1356       0.0000       0:0:37   
    270       0.8307       0.0465       0.0611       0.0618        2772        0.0002       0.7472       0.1697       0.1850       0.0000       0:0:36   
    280       0.8328       0.0495       0.0649       0.0529        2618        0.0002       0.8776       0.1531       0.1485       0.0000       0:0:34   
    290       0.8322       0.0525       0.0515       0.0638        2762        0.0002       0.9568       0.1787       0.1574       0.0000        0:1:6   
    300       0.8010       0.0652       0.0519       0.0819        3134        0.0002       0.7264       0.2218       0.2340       0.0000        0:1:4   
    310       0.7955       0.0753       0.0461       0.0831        3293        0.0002       0.6708       0.2762       0.2917       0.0000        0:1:2   
    320       0.8079       0.0675       0.0471       0.0775        3105        0.0002       0.7304       0.2791       0.2765       0.0000        0:1:0   
    330       0.8290       0.0770       0.0355       0.0585        2709        0.0002       0.9569       0.1889       0.1649       0.0000       0:0:58   
    340       0.8220       0.0886       0.0383       0.0511        2755        0.0002       0.8208       0.1495       0.1541       0.0000       0:0:56   
    350       0.8191       0.0954       0.0304       0.0552        2934        0.0001       0.7842       0.1543       0.1644       0.0000       0:0:55   
    360       0.8189       0.1044       0.0246       0.0520        2879        0.0002       0.8585       0.1789       0.1725       0.0000       0:0:53   
    370       0.8146       0.1117       0.0244       0.0494        2931        0.0002       0.7053       0.1708       0.1949       0.0000       0:0:52   
    380       0.8303       0.0970       0.0215       0.0513        2690        0.0002       1.0195       0.1633       0.1381       0.0000       0:0:50   
    390       0.8257       0.0966       0.0285       0.0492        2726        0.0002       0.8246       0.1406       0.1457       0.0000       0:0:49   
    400       0.8306       0.0867       0.0277       0.0551        2652        0.0002       0.8523       0.1589       0.1572       0.0000       0:0:48   
    410       0.8109       0.0998       0.0300       0.0593        3026        0.0002       0.7241       0.1830       0.2018       0.0000       0:0:46   
    420       0.7979       0.0910       0.0379       0.0732        3127        0.0002       0.9155       0.1797       0.1641       0.0000       0:0:45   
    430       0.7944       0.0862       0.0362       0.0832        3244        0.0002       0.7908       0.2309       0.2260       0.0000       0:0:44   
    440       0.7895       0.1023       0.0327       0.0754        3337        0.0002       0.7014       0.2309       0.2477       0.0000       0:0:43   
    450       0.7547       0.1225       0.0365       0.0863        3892        0.0001       1.0451       0.2051       0.1640       0.0000        0:1:3   
    460       0.7647       0.1186       0.0400       0.0767        3733        0.0001       0.8864       0.1503       0.1450       0.0000        0:1:2   
    470       0.7590       0.1248       0.0326       0.0837        3784        0.0001       0.8285       0.1542       0.1569       0.0000        0:1:0   
    480       0.7570       0.1105       0.0280       0.1046        3877        0.0001       0.7925       0.2116       0.2107       0.0000       0:0:59   
    490       0.7526       0.1090       0.0333       0.1050        3956        0.0001       0.7719       0.2202       0.2220       0.0000       0:0:58   
    500       0.7491       0.0984       0.0397       0.1127        3965        0.0001       0.8273       0.2011       0.1955       0.0000       0:0:57   
    510       0.7694       0.0854       0.0369       0.1083        3688        0.0001       0.8266       0.1780       0.1771       0.0000       0:0:55   
    520       0.7608       0.0889       0.0389       0.1114        3825        0.0001       0.8679       0.2049       0.1910       0.0000       0:0:54   
    530       0.7613       0.0924       0.0446       0.1017        3697        0.0001       0.8080       0.1875       0.1884       0.0000       0:0:53   
    540       0.7489       0.1194       0.0431       0.0886        3872        0.0001       0.7670       0.1740       0.1849       0.0000       0:0:52   
    550       0.7437       0.1293       0.0448       0.0823        3917        0.0001       0.7284       0.1628       0.1827       0.0000       0:0:51   
    560       0.7375       0.1312       0.0514       0.0799        4186        0.0001       0.7767       0.1527       0.1643       0.0000       0:0:50   
    570       0.7284       0.1299       0.0660       0.0758        4211        0.0001       0.8538       0.1499       0.1494       0.0000       0:0:49   
    580       0.7194       0.1461       0.0637       0.0708        4515        0.0001       0.8773       0.1278       0.1271       0.0000       0:0:48   
    590       0.7109       0.1588       0.0610       0.0693        4551        0.0001       0.9428       0.1380       0.1277       0.0000       0:0:47   
    600       0.7248       0.1473       0.0682       0.0598        4375        0.0001       0.7889       0.1423       0.1528       0.0000       0:0:47   
    610       0.7272       0.1606       0.0570       0.0552        4317        0.0002       0.8666       0.1602       0.1560       0.0000       0:0:46   
    620       0.7272       0.1804       0.0415       0.0510        4443        0.0002       0.7931       0.1652       0.1724       0.0000        0:1:0   
    630       0.7291       0.1704       0.0491       0.0514        4344        0.0002       0.7506       0.1544       0.1707       0.0000       0:0:59   
    640       0.7304       0.1808       0.0485       0.0403        4244        0.0002       0.8681       0.1307       0.1309       0.0000       0:0:58   
    650       0.7656       0.1590       0.0414       0.0339        3739        0.0002       0.9054       0.1283       0.1241       0.0000       0:0:57   
    660       0.7640       0.1572       0.0398       0.0390        3752        0.0002       0.8297       0.1627       0.1640       0.0000       0:0:56   
    670       0.7525       0.1654       0.0373       0.0448        4043        0.0002       0.7754       0.1705       0.1803       0.0000       0:0:55   
    680       0.7593       0.1653       0.0297       0.0456        3793        0.0002       0.9698       0.1314       0.1194       0.0000       0:0:54   
    690       0.7525       0.1689       0.0309       0.0477        3944        0.0002       0.7499       0.1638       0.1793       0.0000       0:0:53   
    700       0.7265       0.1836       0.0413       0.0486        4328        0.0002       0.8417       0.1869       0.1817       0.0000       0:0:53   
    710       0.7190       0.1958       0.0386       0.0466        4397        0.0002       0.9311       0.1973       0.1749       0.0000       0:0:52   
    720       0.7181       0.2048       0.0306       0.0465        4512        0.0002       0.7944       0.1433       0.1528       0.0000       0:0:51   
    730       0.7286       0.1967       0.0263       0.0485        4354        0.0002       0.8561       0.1642       0.1609       0.0000       0:0:50   
    740       0.7446       0.1810       0.0224       0.0520        4026        0.0002       0.8179       0.1644       0.1674       0.0000       0:0:50   
    750       0.7348       0.1765       0.0127       0.0760        4297        0.0002       0.7735       0.2315       0.2303       0.0000       0:0:49   
    760       0.7390       0.1646       0.0111       0.0853        4159        0.0002       0.6376       0.2956       0.3167       0.0000       0:0:48   
    770       0.7362       0.1649       0.0073       0.0916        4240        0.0002       0.8011       0.3018       0.2737       0.0000       0:0:47   
    780       0.7425       0.1507       0.0073       0.0995        4130        0.0002       0.7110       0.3270       0.3150       0.0000       0:0:59   
    790       0.7413       0.1550       0.0062       0.0975        3950        0.0002       0.6411       0.3484       0.3521       0.0000       0:0:58   
    800       0.7414       0.1623       0.0032       0.0931        4100        0.0002       0.8442       0.2785       0.2481       0.0000       0:0:57   
    810       0.7532       0.1518       0.0040       0.0909        3967        0.0002       0.8500       0.2947       0.2575       0.0000       0:0:56   
    820       0.7492       0.1546       0.0046       0.0916        3936        0.0002       0.6419       0.2505       0.2807       0.0000       0:0:55   
    830       0.7393       0.1430       0.0042       0.1135        4161        0.0002       0.8518       0.3329       0.2810       0.0000       0:0:55   
    840       0.7445       0.1475       0.0083       0.0998        4106        0.0002       0.7798       0.3478       0.3084       0.0000       0:0:54   
    850       0.7420       0.1658       0.0093       0.0828        4122        0.0002       0.7676       0.2675       0.2584       0.0000       0:0:53   
    860       0.7550       0.1458       0.0107       0.0886        3966        0.0002       0.7535       0.2837       0.2735       0.0000       0:0:53   
    870       0.7558       0.1425       0.0189       0.0828        3918        0.0002       0.7981       0.2860       0.2638       0.0000       0:0:52   
    880       0.7587       0.1350       0.0241       0.0822        3821        0.0002       0.8234       0.2267       0.2159       0.0000       0:0:51   
    890       0.7503       0.1385       0.0203       0.0909        4019        0.0002       0.6874       0.3210       0.3183       0.0000       0:0:51   
    900       0.7392       0.1571       0.0167       0.0869        4111        0.0002       0.8508       0.3100       0.2670       0.0000       0:0:50   
    910       0.7520       0.1277       0.0300       0.0904        3908        0.0002       0.6930       0.3215       0.3169       0.0000       0:0:49   
    920       0.7492       0.1156       0.0340       0.1012        3898        0.0002       0.6496       0.2937       0.3114       0.0000       0:0:49   
    930       0.7327       0.1262       0.0368       0.1043        4125        0.0002       0.7933       0.3323       0.2952       0.0000       0:0:48   
    940       0.6937       0.1237       0.0447       0.1380        4802        0.0002       0.8243       0.4771       0.3666       0.0000       0:0:57   
    950       0.6982       0.1359       0.0391       0.1267        4831        0.0002       0.7600       0.4268       0.3596       0.0000       0:0:57   
    960       0.6644       0.1619       0.0494       0.1243        5234        0.0002       0.6013       0.4059       0.4030       0.0000       0:0:56   
    970       0.6844       0.1470       0.0505       0.1181        5027        0.0002       0.8433       0.3534       0.2953       0.0000       0:0:55   
    980       0.6788       0.1595       0.0565       0.1051        5141        0.0002       0.7828       0.3123       0.2852       0.0000       0:0:55   
    990       0.6829       0.1580       0.0548       0.1043        5028        0.0002       0.7458       0.2884       0.2789       0.0000       0:0:54   
   1000       0.6651       0.1642       0.0523       0.1184        5426        0.0002       0.7083       0.3454       0.3278       0.0000       0:0:54   
   1010       0.6830       0.1514       0.0537       0.1119        5148        0.0002       0.7398       0.3445       0.3177       0.0000       0:0:53   
   1020       0.7082       0.1283       0.0511       0.1124        4670        0.0002       0.7093       0.3572       0.3349       0.0000       0:0:52   
   1030       0.7281       0.1192       0.0454       0.1073        4367        0.0002       0.6448       0.2936       0.3129       0.0000       0:0:52   
   1040       0.7435       0.1155       0.0465       0.0945        4188        0.0002       0.7359       0.2387       0.2449       0.0000       0:0:51   
   1050       0.7514       0.1046       0.0463       0.0978        4006        0.0001       0.7829       0.2274       0.2251       0.0000       0:0:51   
   1060       0.7593       0.0985       0.0448       0.0974        3805        0.0001       0.7692       0.2359       0.2347       0.0000       0:0:50   
   1070       0.7555       0.1072       0.0442       0.0931        3852        0.0002       0.7862       0.2550       0.2449       0.0000       0:0:50   
   1080       0.7501       0.1111       0.0431       0.0956        3999        0.0002       0.8624       0.2714       0.2393       0.0000       0:0:49   
   1090       0.7625       0.1030       0.0551       0.0794        3722        0.0002       0.7973       0.2210       0.2170       0.0000       0:0:57   
   1100       0.7571       0.1091       0.0629       0.0709        3853        0.0002       0.7489       0.2468       0.2479       0.0000       0:0:56   
   1110       0.7564       0.1178       0.0559       0.0699        3774        0.0002       0.7077       0.2371       0.2510       0.0000       0:0:56   
   1120       0.7139       0.1449       0.0615       0.0797        4522        0.0002       0.7619       0.2036       0.2109       0.0000       0:0:55   
   1130       0.6805       0.1442       0.0791       0.0963        5144        0.0001       0.7196       0.2125       0.2280       0.0000       0:0:54   
   1140       0.6818       0.1367       0.0728       0.1087        5099        0.0001       0.8343       0.2648       0.2409       0.0000       0:0:54   
   1150       0.7003       0.1353       0.0742       0.0903        4919        0.0001       0.8231       0.2213       0.2119       0.0000       0:0:53   
   1160       0.6777       0.1615       0.0813       0.0795        5066        0.0001       0.9439       0.1796       0.1599       0.0000       0:0:53   
   1170       0.6939       0.1609       0.0782       0.0670        4920        0.0001       0.9501       0.1278       0.1186       0.0000       0:0:52   
   1180       0.6984       0.1606       0.0691       0.0719        4772        0.0001       0.9711       0.1310       0.1189       0.0000       0:0:52   
   1190       0.6808       0.1791       0.0649       0.0753        5119        0.0001       1.0104       0.1309       0.1147       0.0000       0:0:51   
   1200       0.6534       0.1922       0.0617       0.0927        5531        0.0001       0.8462       0.1582       0.1575       0.0000       0:0:51   
   1210       0.6484       0.1934       0.0724       0.0858        5686        0.0001       0.9120       0.1378       0.1312       0.0000       0:0:50   
   1220       0.6364       0.1915       0.0753       0.0968        5821        0.0001       0.9299       0.1595       0.1464       0.0000       0:0:50   
   1230       0.6191       0.1991       0.0646       0.1172        6116        0.0001       0.6572       0.1975       0.2311       0.0000       0:0:49   
   1240       0.6143       0.2165       0.0607       0.1085        6128        0.0001       0.9698       0.1901       0.1639       0.0000       0:0:56   
   1250       0.6258       0.2266       0.0516       0.0960        5979        0.0001       0.8328       0.1668       0.1668       0.0000       0:0:56   
   1260       0.6262       0.2259       0.0657       0.0822        5940        0.0001       0.8564       0.1536       0.1521       0.0000       0:0:55   
   1270       0.6257       0.2250       0.0744       0.0749        5996        0.0001       0.8368       0.1385       0.1420       0.0000       0:0:54   
   1280       0.6160       0.2267       0.0759       0.0814        6112        0.0001       0.7954       0.1508       0.1594       0.0000       0:0:54   
   1290       0.6015       0.2477       0.0686       0.0822        6311        0.0001       0.9751       0.1564       0.1383       0.0000       0:0:54   
   1300       0.5929       0.2388       0.0763       0.0920        6439        0.0001       0.6794       0.2021       0.2293       0.0000       0:0:53   
   1310       0.6013       0.2028       0.0854       0.1105        6235        0.0001       0.7293       0.2069       0.2210       0.0000       0:0:53   
   1320       0.6201       0.1761       0.0963       0.1075        6037        0.0001       0.7264       0.2351       0.2445       0.0000       0:0:52   
   1330       0.6271       0.1886       0.0885       0.0959        6008        0.0001       0.8000       0.1962       0.1969       0.0000       0:0:52   
   1340       0.6242       0.1825       0.1076       0.0857        6037        0.0001       0.8934       0.2243       0.2007       0.0000       0:0:51   
   1350       0.5702       0.2051       0.1258       0.0988        6760        0.0001       0.7956       0.2282       0.2229       0.0000       0:0:51   
   1360       0.5393       0.2343       0.1210       0.1053        7224        0.0001       0.7261       0.2092       0.2236       0.0000       0:0:50   
   1370       0.5701       0.2072       0.1113       0.1114        6865        0.0001       0.7626       0.2156       0.2204       0.0000       0:0:50   
   1380       0.5784       0.2073       0.1010       0.1133        6773        0.0001       0.9493       0.1837       0.1621       0.0000       0:0:56   
   1390       0.5760       0.2053       0.1227       0.0959        6705        0.0001       0.9733       0.1850       0.1597       0.0000       0:0:55   
   1400       0.5768       0.1775       0.1554       0.0903        6754        0.0001       0.8406       0.2003       0.1924       0.0000       0:0:55   
   1410       0.5814       0.1679       0.1516       0.0991        6684        0.0001       0.8343       0.2091       0.2004       0.0000       0:0:54   
   1420       0.5912       0.1868       0.1393       0.0826        6548        0.0001       0.7761       0.1865       0.1938       0.0000       0:0:54   
   1430       0.5588       0.1848       0.1719       0.0845        6998        0.0001       0.6458       0.1815       0.2194       0.0000       0:0:53   
   1440       0.5620       0.1833       0.1562       0.0985        7015        0.0001       0.8039       0.2228       0.2170       0.0000       0:0:53   
   1450       0.5412       0.2009       0.1377       0.1202        7248        0.0001       0.8944       0.2902       0.2450       0.0000       0:0:53   
   1460       0.5583       0.1770       0.1355       0.1292        7050        0.0001       0.7741       0.2622       0.2530       0.0000       0:0:52   
   1470       0.5770       0.1730       0.1270       0.1230        6732        0.0001       0.6195       0.2530       0.2900       0.0000       0:0:52   
   1480       0.5762       0.1674       0.1300       0.1264        6829        0.0001       0.6772       0.2553       0.2738       0.0000       0:0:51   
   1490       0.5960       0.1619       0.1044       0.1377        6512        0.0001       0.8128       0.3059       0.2734       0.0000       0:0:51   
   1500       0.6111       0.1617       0.0971       0.1301        6149        0.0001       0.8419       0.2797       0.2494       0.0000       0:0:51   
   1510       0.6125       0.1564       0.1079       0.1231        6158        0.0001       0.7245       0.2523       0.2583       0.0000       0:0:50   
   1520       0.6239       0.1403       0.1039       0.1319        6059        0.0001       0.7325       0.2672       0.2673       0.0000       0:0:55   
   1530       0.6314       0.1471       0.1026       0.1190        5846        0.0001       0.7001       0.2323       0.2491       0.0000       0:0:55   
   1540       0.6277       0.1317       0.1097       0.1308        5841        0.0001       0.7347       0.2283       0.2370       0.0000       0:0:54   
