***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Tue Feb  5 09:17:56 2019

Options:

--sbayes R
--ldm ../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_15.ma
--out sim_15
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
15919 SNPs to be included from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_15.ma].
15919 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15919 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 4796.67 sd 1.48613e+06.
LD matrix diagnal mean 1.00391 sd 0.0523117.
Read LD matrix for 15919 SNPs (time used: 0:0:2).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect   -0.000    0.121
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.478   19.774
                     MME right-hand-side   -0.218   20.741
                    LD sampling variance    1.298    0.076
                                LD score   17.359   15.140

Approximate BayesR model fitted.
scale factor: 6.2818e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9540       0.0117       0.0222       0.0122         762        0.0001       0.9570       0.0295       0.0299       0.0000        0:0:0   
    20        0.9557       0.0092       0.0215       0.0135         720        0.0001       0.9079       0.0283       0.0302       0.0000       0:8:19   
    30        0.9476       0.0159       0.0262       0.0103         763        0.0001       0.9266       0.0229       0.0241       0.0000       0:5:32   
    40        0.9412       0.0209       0.0242       0.0137         937        0.0001       0.8968       0.0338       0.0364       0.0000        0:4:9   
    50        0.9440       0.0222       0.0192       0.0146         897        0.0002       0.8968       0.0612       0.0639       0.0000       0:3:19   
    60        0.9467       0.0181       0.0207       0.0144         803        0.0002       0.9523       0.0578       0.0572       0.0000       0:2:45   
    70        0.9500       0.0174       0.0183       0.0142         807        0.0002       0.9210       0.0446       0.0462       0.0000       0:2:21   
    80        0.9413       0.0241       0.0178       0.0168         958        0.0002       0.9170       0.0547       0.0563       0.0000        0:2:4   
    90        0.9512       0.0195       0.0139       0.0154         809        0.0002       0.9683       0.0493       0.0485       0.0000       0:3:40   
    100       0.9480       0.0187       0.0151       0.0181         878        0.0002       0.9173       0.0700       0.0709       0.0000       0:3:18   
    110       0.9459       0.0238       0.0148       0.0155         866        0.0002       0.8842       0.0570       0.0606       0.0001       0:2:59   
    120       0.9399       0.0286       0.0192       0.0122         966        0.0001       0.9151       0.0332       0.0350       0.0001       0:2:44   
    130       0.9323       0.0370       0.0177       0.0131        1079        0.0002       0.9037       0.0387       0.0411       0.0001       0:2:31   
    140       0.9249       0.0436       0.0193       0.0122        1228        0.0001       0.8981       0.0363       0.0389       0.0001       0:2:20   
    150       0.9218       0.0530       0.0120       0.0132        1242        0.0001       0.9508       0.0299       0.0304       0.0001       0:3:17   
    160       0.9245       0.0499       0.0129       0.0128        1222        0.0001       0.9956       0.0290       0.0283       0.0001        0:3:4   
    170       0.9233       0.0475       0.0143       0.0149        1242        0.0001       0.7782       0.0289       0.0358       0.0001       0:2:53   
    180       0.9235       0.0465       0.0139       0.0160        1210        0.0001       0.8584       0.0301       0.0339       0.0001       0:2:43   
    190       0.9231       0.0466       0.0139       0.0164        1241        0.0001       0.9507       0.0404       0.0408       0.0001       0:2:34   
    200       0.9215       0.0446       0.0125       0.0214        1229        0.0001       0.9360       0.0397       0.0407       0.0001       0:3:16   
    210       0.9294       0.0493       0.0073       0.0140        1076        0.0001       0.9096       0.0186       0.0200       0.0001        0:3:6   
    220       0.9096       0.0685       0.0070       0.0149        1405        0.0001       0.8859       0.0385       0.0417       0.0001       0:2:57   
    230       0.9184       0.0669       0.0053       0.0093        1306        0.0001       1.0238       0.0220       0.0210       0.0001       0:2:49   
    240       0.9217       0.0687       0.0028       0.0068        1271        0.0001       1.0302       0.0118       0.0113       0.0001       0:2:42   
    250       0.9246       0.0664       0.0029       0.0061        1202        0.0002       1.0703       0.0228       0.0209       0.0001       0:3:15   
    260       0.9215       0.0649       0.0060       0.0076        1285        0.0002       0.9463       0.0307       0.0314       0.0001        0:3:7   
    270       0.9083       0.0780       0.0067       0.0071        1457        0.0002       0.9454       0.0282       0.0289       0.0001        0:3:0   
    280       0.9145       0.0770       0.0038       0.0047        1348        0.0002       0.9399       0.0166       0.0173       0.0001       0:2:53   
    290       0.9070       0.0851       0.0063       0.0016        1442        0.0002       0.8843       0.0065       0.0073       0.0001       0:2:47   
    300       0.9014       0.0866       0.0096       0.0025        1592        0.0002       0.9164       0.0157       0.0168       0.0001       0:3:14   
    310       0.8823       0.1026       0.0096       0.0055        1911        0.0002       0.9929       0.0226       0.0223       0.0001        0:3:7   
    320       0.8696       0.1041       0.0198       0.0065        2041        0.0002       0.9423       0.0344       0.0352       0.0001        0:3:1   
    330       0.8928       0.0871       0.0146       0.0054        1721        0.0001       0.9428       0.0153       0.0160       0.0001       0:2:55   
    340       0.8797       0.1000       0.0140       0.0063        1915        0.0002       1.1288       0.0223       0.0194       0.0001       0:3:18   
    350       0.8780       0.1025       0.0151       0.0043        1882        0.0001       0.9792       0.0144       0.0144       0.0001       0:3:13   
    360       0.8612       0.1195       0.0153       0.0040        2198        0.0001       0.8751       0.0110       0.0124       0.0001        0:3:7   
    370       0.8705       0.1144       0.0108       0.0044        2027        0.0001       0.9178       0.0113       0.0121       0.0001       0:3:28   
    380       0.8883       0.0913       0.0092       0.0112        1781        0.0001       0.9702       0.0215       0.0217       0.0001       0:3:22   
    390       0.8871       0.0896       0.0062       0.0170        1789        0.0001       1.0636       0.0259       0.0237       0.0001       0:3:17   
    400       0.9056       0.0749       0.0024       0.0171        1509        0.0001       1.0430       0.0236       0.0222       0.0001       0:3:12   
    410       0.9001       0.0862       0.0040       0.0097        1582        0.0001       1.0325       0.0148       0.0142       0.0001       0:3:30   
    420       0.8836       0.1040       0.0028       0.0096        1864        0.0001       0.9896       0.0183       0.0182       0.0001       0:3:25   
    430       0.8768       0.1063       0.0073       0.0096        1926        0.0001       0.9951       0.0165       0.0163       0.0001       0:3:20   
    440       0.8784       0.1098       0.0095       0.0023        1854        0.0001       0.9985       0.0053       0.0053       0.0001       0:3:15   
    450       0.8583       0.1306       0.0108       0.0003        2269        0.0001       1.0357       0.0053       0.0051       0.0001       0:3:32   
    460       0.8695       0.1213       0.0090       0.0001        2082        0.0001       0.9425       0.0037       0.0039       0.0001       0:3:27   
    470       0.8704       0.1102       0.0188       0.0006        1979        0.0001       0.9873       0.0072       0.0072       0.0001       0:3:22   
    480       0.8612       0.1122       0.0256       0.0011        2212        0.0001       1.0019       0.0080       0.0079       0.0001       0:3:18   
