***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Tue Feb  5 09:17:24 2019

Options:

--sbayes R
--ldm ../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_13.ma
--out sim_13
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
15919 SNPs to be included from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_13.ma].
15919 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15919 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 4796.67 sd 1.48613e+06.
LD matrix diagnal mean 1.00391 sd 0.0523117.
Read LD matrix for 15919 SNPs (time used: 0:0:3).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect    0.000    0.121
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.478   19.774
                     MME right-hand-side   -0.183   20.034
                    LD sampling variance    1.298    0.076
                                LD score   17.359   15.140

Approximate BayesR model fitted.
scale factor: 6.2818e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9494       0.0212       0.0209       0.0085         791        0.0001       1.0211       0.0186       0.0179       0.0000        0:0:0   
    20        0.9562       0.0177       0.0179       0.0082         744        0.0001       1.0089       0.0141       0.0138       0.0000        0:0:0   
    30        0.9534       0.0164       0.0205       0.0097         721        0.0001       0.9314       0.0114       0.0121       0.0000        0:0:0   
    40        0.9481       0.0151       0.0190       0.0178         829        0.0001       1.0678       0.0146       0.0135       0.0000        0:0:0   
    50        0.9454       0.0227       0.0107       0.0212         857        0.0001       1.1366       0.0301       0.0258       0.0000       0:3:19   
    60        0.9551       0.0163       0.0082       0.0204         799        0.0001       0.9299       0.0396       0.0408       0.0000       0:2:45   
    70        0.9589       0.0187       0.0056       0.0168         664        0.0001       1.0221       0.0294       0.0279       0.0000       0:2:21   
    80        0.9631       0.0179       0.0024       0.0166         576        0.0001       0.9905       0.0189       0.0187       0.0000        0:2:4   
    90        0.9600       0.0207       0.0014       0.0180         678        0.0001       1.0129       0.0253       0.0244       0.0000       0:1:50   
    100       0.9645       0.0169       0.0006       0.0180         590        0.0001       1.0502       0.0256       0.0238       0.0000       0:1:39   
    110       0.9596       0.0177       0.0035       0.0193         584        0.0000       0.9006       0.0129       0.0141       0.0000       0:1:29   
    120       0.9497       0.0231       0.0073       0.0200         834        0.0001       1.0856       0.0200       0.0181       0.0000       0:1:22   
    130       0.9558       0.0219       0.0040       0.0182         651        0.0000       0.9457       0.0112       0.0117       0.0000       0:1:15   
    140       0.9486       0.0194       0.0074       0.0246         796        0.0000       0.9140       0.0147       0.0158       0.0000       0:2:20   
    150       0.9594       0.0140       0.0059       0.0207         688        0.0000       1.1253       0.0113       0.0099       0.0000       0:2:11   
